numero,classe,codigo,lon,lat,bytes_wms,estado
45,pastagens,3,-7.578583,40.410705,15381,ok
46,rocha,7,-7.518152,40.419525,5523,ok
47,matagal,11,-7.556179,40.410931,10953,ok
48,pastagens,3,-7.580528,40.415771,11373,ok
49,parede,8,-7.572687,40.337206,12385,ok
50,matagal,11,-7.536016,40.401433,9249,ok
51,rocha,7,-7.517327,40.391573,10423,ok
52,mato rasteiro,6,-7.561073,40.329653,12938,ok
53,matagal,11,-7.527467,40.377642,10483,ok
54,pastagens,3,-7.583889,40.412379,14759,ok
55,pastagens,3,-7.601753,40.322054,12309,ok
56,mato rasteiro,6,-7.610655,40.389130,10097,ok
57,matagal,11,-7.491680,40.313189,9931,ok
58,parede,8,-7.605408,40.339060,13491,ok
59,mato rasteiro,6,-7.490206,40.312736,10001,ok
60,agua,9,-7.588488,40.399307,4469,ok
61,rocha,7,-7.608592,40.364344,10281,ok
62,pastagens,3,-7.583063,40.402292,14487,ok
63,mato rasteiro,6,-7.493449,40.336347,9668,ok
64,agua,9,-7.597862,40.418032,9177,ok
65,floresta,5,-7.502293,40.314319,11781,ok
66,parede,8,-7.599689,40.328567,13814,ok
67,rocha,7,-7.583476,40.353218,14983,ok
68,pastagens,3,-7.598039,40.350278,11416,ok
69,parede,8,-7.579821,40.345574,12308,ok
70,floresta,5,-7.553231,40.369591,10207,ok
71,agua,9,-7.619971,40.385874,2908,ok
72,agua,9,-7.496043,40.395146,9428,ok
73,chao nu,10,-7.536488,40.339739,13685,ok
74,chao nu,10,-7.498873,40.365430,9030,ok
75,agua,9,-7.492741,40.390035,11152,ok
76,floresta,5,-7.548279,40.412650,9388,ok
77,chao nu,10,-7.552111,40.344850,8179,ok
78,mato rasteiro,6,-7.615313,40.334356,11266,ok
79,chao nu,10,-7.552406,40.326984,7709,ok
80,matagal,11,-7.547277,40.407810,7290,ok
81,pastagens,3,-7.585952,40.387412,11404,ok
82,rocha,7,-7.571213,40.363620,9752,ok
83,pastagens,3,-7.596741,40.397588,8831,ok
84,parede,8,-7.561544,40.378004,12347,ok
85,chao nu,10,-7.497989,40.366787,9523,ok
86,pastagens,3,-7.595680,40.371852,6757,ok
87,rocha,7,-7.570034,40.367691,8676,ok
88,chao nu,10,-7.524696,40.338065,15225,ok
89,rocha,7,-7.609771,40.393608,7147,ok
90,rocha,7,-7.607649,40.388633,10106,ok
91,matagal,11,-7.568501,40.417354,12354,ok
92,floresta,5,-7.552347,40.404644,5596,ok
93,matagal,11,-7.542206,40.411022,7850,ok
94,matagal,11,-7.497458,40.344895,15901,ok
95,parede,8,-7.558066,40.361630,12590,ok
96,parede,8,-7.604819,40.314365,14217,ok
97,mato rasteiro,6,-7.490796,40.404735,8377,ok
98,rocha,7,-7.581413,40.389899,10758,ok
99,pastagens,3,-7.602166,40.320380,11996,ok
100,rocha,7,-7.524048,40.404870,11518,ok
101,rocha,7,-7.570270,40.356519,8834,ok
102,rocha,7,-7.619145,40.363892,13776,ok
103,parede,8,-7.597803,40.328431,13819,ok
104,mato rasteiro,6,-7.600102,40.325898,13361,ok
105,mato rasteiro,6,-7.536605,40.370134,14644,ok
106,parede,8,-7.592556,40.324677,10990,ok
107,pastagens,3,-7.604229,40.371083,11067,ok
108,floresta,5,-7.513376,40.392975,10213,ok
109,chao nu,10,-7.521395,40.352675,13046,ok
110,parede,8,-7.558655,40.366877,9673,ok
111,chao nu,10,-7.500819,40.371491,6926,ok
112,parede,8,-7.565966,40.352856,12067,ok
113,agua,9,-7.493626,40.391120,11206,ok
114,matagal,11,-7.576342,40.328522,8994,ok
115,agua,9,-7.491798,40.383431,13708,ok
116,parede,8,-7.604111,40.331145,14638,ok
117,mato rasteiro,6,-7.554175,40.386552,13760,ok
118,agua,9,-7.565317,40.311334,17735,ok
119,matagal,11,-7.553585,40.380718,8381,ok
120,matagal,11,-7.517798,40.415952,11532,ok
121,pastagens,3,-7.614488,40.358736,13455,ok
122,parede,8,-7.589313,40.324315,12897,ok
123,agua,9,-7.582592,40.398674,644,"liso (RGB 17,32,51)"
124,chao nu,10,-7.556710,40.347880,14710,ok
125,agua,9,-7.587308,40.398629,1873,"liso (RGB 18,34,50)"
126,agua,9,-7.566202,40.312736,16454,ok
127,agua,9,-7.504002,40.394648,8531,ok
128,chao nu,10,-7.520746,40.344262,13561,ok
129,agua,9,-7.562488,40.311968,17419,ok
130,floresta,5,-7.504415,40.374385,8052,ok
131,floresta,5,-7.510841,40.399714,8497,ok
132,floresta,5,-7.499639,40.337206,13236,ok
133,matagal,11,-7.576107,40.327572,7510,ok
134,floresta,5,-7.520569,40.388452,9761,ok
135,floresta,5,-7.554057,40.383160,15930,ok
136,mato rasteiro,6,-7.614664,40.334130,11752,ok
137,agua,9,-7.496102,40.395327,9593,ok
138,floresta,5,-7.499580,40.378004,8970,ok
139,chao nu,10,-7.491209,40.390125,11020,ok
140,chao nu,10,-7.552760,40.353715,17072,ok
141,floresta,5,-7.591671,40.415183,13380,ok
142,pastagens,3,-7.582179,40.386643,12557,ok
143,matagal,11,-7.605939,40.319114,9931,ok
144,mato rasteiro,6,-7.573277,40.319204,11988,ok
145,matagal,11,-7.558596,40.415861,10460,ok
146,chao nu,10,-7.503059,40.360002,15380,ok
147,floresta,5,-7.542029,40.381125,8554,ok
148,matagal,11,-7.538905,40.402880,13234,ok
149,matagal,11,-7.540143,40.413826,12125,ok
150,chao nu,10,-7.543975,40.321737,10718,ok
151,pastagens,3,-7.593086,40.366787,11289,ok
152,mato rasteiro,6,-7.570800,40.348830,11831,ok
153,parede,8,-7.608120,40.340779,13109,ok
154,mato rasteiro,6,-7.586247,40.316219,7739,ok
155,parede,8,-7.575753,40.336211,13084,ok
156,floresta,5,-7.513730,40.400981,8811,ok
157,matagal,11,-7.504946,40.316581,12206,ok
158,chao nu,10,-7.585952,40.321918,9746,ok
159,agua,9,-7.585599,40.400076,771,"liso (RGB 18,33,51)"
160,mato rasteiro,6,-7.608415,40.315043,13333,ok
